   N, Format,       Read,        Work,    Write
   5,   text,   0.000772,    0.000003,  0.001133
   5,    bin,   0.002803,    0.000003,  0.001016
  10,   text,   0.001338,    0.000022,  0.000933
  10,    bin,   0.000533,    0.000020,  0.001006
  50,   text,   0.023512,    0.001730,  0.003763
  50,    bin,   0.000567,    0.001638,  0.001722
 100,   text,   0.093650,    0.011443,  0.011623
 100,    bin,   0.000677,    0.012416,  0.008551
 500,   text,   2.195840,    1.441340,  0.264559
 500,    bin,   0.005549,    1.435670,  0.002698
1000,   text,   9.073820,   14.950100,  2.807280
1000,    bin,   0.038412,   13.406800,  0.011116
5000,   text, 409.248000, 1703.130000, 25.131300
5000,    bin,   0.481942, 2968.780000,  0.169478